"ID","date","postcode","property_type","whether_old_or_new","freehold_or_leasehold","address1","address2","address3","town","local_aut","county","postcode_short","current_energy_rating","total_floor_area","number_habitable_rooms","co2_emissions_current","co2_emissions_potential","energy_consumption_current","energy_consumption_potential","windows_energy_eff","tenure","latitude","longitude","population","altitude","london_zone","nearest_station","water_company","average_income","district","price","type_of_closest_station","num_tube_lines","num_rail_lines","num_light_rail_lines","distance_to_station"
3765,"2019-11-07","SE9 4QZ","F","N","L","73A",NA,"MOTTINGHAM ROAD",NA,"LONDON","BROMLEY","SE9","D",68.4,3,4.1,3.5,356,303,"Very Poor","rental (social)",51.437026,0.044285,33,42,4,"mottingham","Thames Water",45800,"Greenwich",166000,"rail",0,1,0,0.4697784
3766,"2019-10-31","CR0 4AE","S","N","F","38",NA,"THE RIDGEWAY",NA,"CROYDON","CROYDON","CR0","D",107,5,4.5,1.5,239,78,"Average","owner-occupied",51.369335,-0.12217,65,45,5,"waddon","Thames Water",47600,"Croydon",433000,"rail",0,1,0,0.379054
3767,"2019-05-21","HA3 9SP","S","N","F","6",NA,"THE LEYS",NA,"HARROW","BRENT","HA3","E",133,5,7.2,2.5,304,105,"Average","owner-occupied",51.581091,-0.290984,31,42,4,"kingsbury","Affinity Water",50900,"Brent",430000,"tube",1,0,0,0.8196266
3768,"2019-07-12","NW1 3QB","F","N","L","SCAFELL","FLAT 5","STANHOPE STREET",NA,"LONDON","CAMDEN","NW1","C",93,6,2,1.9,125,116,"Average","rental (private)",51.529283,-0.140581,65,29,1,"euston","Thames Water",41300,"Camden",650000,"tube",2,1,1,0.5642312
3769,"2019-08-30","CR5 1PF","D","N","F","9",NA,"BRADMORE WAY",NA,"COULSDON","CROYDON","CR5","D",170,8,7.6,4.6,254,153,"Good","owner-occupied",51.310804,-0.131319,79,114,6,"coulsdon south","SES Water",53700,"Croydon",740000,"rail",0,1,0,0.5834946
3770,"2019-06-14","UB4 8QJ","T","N","F","14",NA,"WOODROW AVENUE",NA,"HAYES","HILLINGDON","UB4","C",73,4,2.4,1.2,186,86,"Average","owner-occupied",51.525501,-0.42122,72,39,5,"hayes and harlington","Affinity Water",53100,"Hillingdon",390000,"rail",0,1,0,1.8157308
3771,"2019-05-08","HA5 5NJ","S","N","F","7",NA,"MARSH ROAD",NA,"PINNER","HARROW","HA5","F",118.54,6,11,8.2,475,358,"Poor","owner-occupied",51.590305,-0.373646,30,60,5,"pinner","Affinity Water",68600,"Harrow",655000,"tube",1,0,0,0.4759924
3772,"2019-04-26","IG2 6LQ","F","N","L","CITY GATE HOUSE, 399 - 425","FLAT 25","EASTERN AVENUE",NA,"ILFORD","REDBRIDGE","IG2","B",49.41,3,1.9,1.9,219,214,"Good","rental (private)",51.576368,0.068414,181,28,4,"gants hill","Essex & Suffolk Water",55100,"Redbridge",250000,"tube",1,0,0,0.245453
3773,"2019-09-09","E13 0DW","T","N","F","19",NA,"FLORENCE ROAD","PLAISTOW","LONDON","NEWHAM","E13","D",83,4,3.4,1.1,235,75,"Average","owner-occupied",51.529127,0.017411,106,4,3,"plaistow","Thames Water",43200,"Newham",455000,"tube",2,0,0,0.2398604
3774,"2019-10-08","E17 7AR","T","N","L","54",NA,"GLENTHORNE ROAD",NA,"LONDON","WALTHAM FOREST","E17","D",45,3,1.9,1.1,245,142,"Average","owner-occupied",51.582143,-0.036753,141,11,3,"st james street","Thames Water",50900,"Waltham Forest",383000,"light_rail",0,0,1,0.2504242
3775,"2019-03-15","SW11 4PG","F","N","L","ALBANY MANSIONS","FLAT 6","ALBERT BRIDGE ROAD","BATTERSEA","LONDON","WANDSWORTH","SW11","D",88,3,2.8,1.4,200,95,"Average","rental (private)",51.478356,-0.16555,76,8,2,"battersea park","Thames Water",63200,"Wandsworth",1025000,"rail",0,1,0,0.922779
3776,"2019-01-11","N9 7LH","T","N","F","14",NA,"OAKLANDS AVENUE",NA,"LONDON","ENFIELD","N9","D",84,5,4.3,0.8,290,55,"Average","owner-occupied",51.638963,-0.051279,81,15,5,"southbury","Thames Water",40800,"Enfield",372500,"light_rail",0,0,1,1.075022
3777,"2019-08-27","TW2 5NA","T","N","F","13",NA,"APPLEBY CLOSE",NA,"TWICKENHAM","RICHMOND UPON THAMES","TW2","D",73,5,3.2,0.7,254,49,"Poor","owner-occupied",51.440467,-0.350498,89,17,6,"fulwell","Thames Water",61900,"Richmond upon Thames",5e+05,"rail",0,1,0,0.6102148
3778,"2019-10-03","RM11 2AS","T","N","F","51",NA,"HAZELMERE GARDENS",NA,"HORNCHURCH","HAVERING","RM11","E",125,6,4.6,2,202,89,"Average","owner-occupied",51.575161,0.209131,107,29,6,"gidea park","Thames Water",54000,"Havering",475000,"rail",0,1,0,0.6481202
3779,"2019-08-30","N16 0DL","T","N","F","5",NA,"DYNEVOR ROAD",NA,"LONDON","HACKNEY","N16","C",110,6,3.6,1.2,184,58,"Average","owner-occupied",51.558795,-0.076896,110,25,2,"rectory road","Thames Water",57000,"Hackney",974286,"light_rail",0,0,1,0.568581
3780,"2019-04-26","E17 8PL","T","N","F","212",NA,"QUEENS ROAD","WALTHAMSTOW","LONDON","WALTHAM FOREST","E17","D",62,3,3.5,1.2,317,104,"Average","rental (private)",51.576843,-0.027975,109,13,3,"st james street","Thames Water",48100,"Waltham Forest",265000,"light_rail",0,0,1,0.4741282
3781,"2019-11-20","SE18 1EA","T","N","F","95A",NA,"MARMADON ROAD",NA,"LONDON","GREENWICH","SE18","E",81,4,5,1.2,320,75,"Average","owner-occupied",51.489948,0.095269,117,5,4,"plumstead","Thames Water",43900,"Greenwich",315000,"rail",0,1,0,0.6474988
3782,"2019-01-04","E1 0LE","F","N","L","DOWSON HOUSE","FLAT 13","BOWER STREET",NA,"LONDON","TOWER HAMLETS","E1","D",74,4,3.4,2.5,240,174,"Average","owner-occupied",51.512934,-0.045363,43,17,2,"limehouse","Thames Water",43200,"Tower Hamlets",266200,"light_rail",0,0,1,0.3616548
3783,"2019-03-28","SE18 7PA","F","N","L","69",NA,"GLYNDON ROAD",NA,"LONDON","GREENWICH","SE18","C",74.4,4,1.8,1.8,130,124,"Average","owner-occupied",51.48812,0.080723,84,21,4,"plumstead","Thames Water",42000,"Greenwich",237000,"rail",0,1,0,0.3131856
3784,"2019-07-24","BR5 3NS","T","N","F","85",NA,"SANDPIPER WAY",NA,"ORPINGTON","BROMLEY","BR5","E",41,2,3,1,442,141,"Very Poor","rental (private)",51.396217,0.123127,73,63,6,"st mary cray","Thames Water",43200,"Bromley",220000,"rail",0,1,0,0.8811452
3787,"2019-08-14","E11 2BQ","S","N","F","12",NA,"CRANBOURNE AVENUE",NA,"LONDON","REDBRIDGE","E11","D",157,7,7.1,4.5,236,146,"Poor","owner-occupied",51.58429,0.029843,127,21,4,"snaresbrook","Thames Water",55000,"Redbridge",950000,"tube",1,0,0,0.71461
3788,"2019-03-29","SE14 5HT","F","N","L","GERRARD HOUSE","FLAT 21","BRIANT STREET",NA,"LONDON","LEWISHAM","SE14","C",49,3,1.9,1.9,219,219,"Average","owner-occupied",51.476563,-0.049957,105,5,2,"queens road peckham","Thames Water",53100,"Lewisham",175000,"light_rail",0,1,1,0.6419062
3790,"2019-04-25","UB3 2AZ","F","N","L","78",NA,"COMPTON ROAD",NA,"HAYES","HILLINGDON","UB3","C",58,3,2,1.4,180,122,"Good","owner-occupied",51.513524,-0.423926,100,36,5,"hayes and harlington","Affinity Water",49200,"Hillingdon",260000,"rail",0,1,0,0.8736884
3792,"2019-08-30","SW18 5TH","F","N","F","EDEN COURT, 55","FLAT 3","STANDEN ROAD",NA,"LONDON","WANDSWORTH","SW18","D",137,7,5.5,1.9,230,78,"Average","rental (private)",51.446895,-0.200616,110,13,3,"southfields","Thames Water",76700,"Wandsworth",9e+05,"tube",1,0,0,0.3498482
3794,"2019-08-02","UB4 0QX","S","N","F","31",NA,"SPENCER AVENUE",NA,"HAYES","HILLINGDON","UB4","D",77,5,6.2,3.1,479,242,"Good","rental (private)",51.521764,-0.410827,118,33,5,"hayes and harlington","Affinity Water",53100,"Hillingdon",405000,"rail",0,1,0,1.628068
3796,"2019-10-09","SW1V 1PB","T","N","L","35A",NA,"ECCLESTON SQUARE",NA,"LONDON","WESTMINSTER","SW1V","C",135,4,3.4,3,143,125,"Good","owner-occupied",51.491074,-0.145103,33,12,1,"victoria","Thames Water",61900,"Westminster",1470890,"tube",3,1,0,0.490906
3797,"2019-07-31","SW15 1HA","F","N","L","KENILWORTH COURT","FLAT 86","LOWER RICHMOND ROAD",NA,"LONDON","WANDSWORTH","SW15","C",83,6,2.8,1.7,165,105,"Average","owner-occupied",51.466148,-0.216487,95,13,2,"putney bridge","Thames Water",71500,"Kingston upon Thames",671000,"tube",1,0,0,0.438087
3798,"2019-06-24","UB4 8EU","S","N","F","5",NA,"BLACKLANDS DRIVE",NA,"HAYES","HILLINGDON","UB4","D",75,5,3.8,0.9,294,70,"Average","owner-occupied",51.527048,-0.436044,60,44,5,"hayes and harlington","Affinity Water",51300,"Hillingdon",435000,"rail",0,1,0,2.1867066
3799,"2019-05-24","CR2 0AQ","T","N","L","143",NA,"RIDGE LANGLEY",NA,"SOUTH CROYDON","CROYDON","CR2","D",94.3,4,4.4,2.5,277,160,"Average","owner-occupied",51.345235,-0.074534,85,123,6,"sanderstead","SES Water",62800,"Croydon",445000,"rail",0,1,0,1.7169282
3800,"2019-11-26","TW1 1DX","F","N","L","4",NA,"BUTTERFIELD CLOSE",NA,"TWICKENHAM","RICHMOND UPON THAMES","TW1","C",37,3,1.5,1.5,239,232,"Average","owner-occupied",51.455947,-0.338691,16,14,5,"twickenham","Thames Water",80200,"Richmond upon Thames",262500,"rail",0,1,0,0.6934824
3801,"2019-02-22","N14 4DP","T","N","L","7",NA,"LINDEN CLOSE",NA,"LONDON","ENFIELD","N14","C",56,3,2.1,1.6,216,157,"Average","owner-occupied",51.640817,-0.13381,32,77,5,"oakwood","Thames Water",47600,"Enfield",380000,"tube",1,0,0,0.6735976
3802,"2019-10-24","N11 1DN","S","N","F","23",NA,"DALE GREEN ROAD",NA,"LONDON","BARNET","N11","F",92,6,7.8,2.6,478,155,"Average","owner-occupied",51.622288,-0.139771,97,44,4,"arnos grove","Affinity Water",51100,"Barnet",575000,"tube",1,0,0,0.5915728
3803,"2019-04-17","BR6 0UQ","F","N","L","19",NA,"COLERIDGE WAY",NA,"ORPINGTON","BROMLEY","BR6","C",40,2,1.6,1.3,236,193,"Average","owner-occupied",51.384466,0.103511,112,55,6,"st mary cray","Thames Water",49300,"Bromley",210000,"rail",0,1,0,1.217944
3804,"2019-11-07","SE6 1DY","S","N","F","15",NA,"THORNSBEACH ROAD",NA,"LONDON","LEWISHAM","SE6","E",170.08,7,8.7,7.2,266,218,"Average","rental (private)",51.440724,-0.011798,51,21,3,"bellingham","Thames Water",54200,"Lewisham",710000,"rail",0,1,0,0.9544704
3805,"2019-11-08","RM10 8LH","T","N","F","143",NA,"HUNTERS HALL ROAD",NA,"DAGENHAM","BARKING AND DAGENHAM","RM10","D",74,4,3.4,0.7,262,54,"Average","owner-occupied",51.549321,0.153815,148,10,5,"dagenham heathway","Essex & Suffolk Water",40000,"Barking and Dagenham",270000,"tube",1,0,0,1.0389808
3806,"2019-12-20","SM6 0TQ","T","N","F","16",NA,"BRAMBLEDOWN ROAD",NA,"WALLINGTON","SUTTON","SM6","D",87,5,3.7,0.9,240,54,"Average","owner-occupied",51.353365,-0.149424,60,76,5,"wallington","SES Water",53000,"Sutton",370000,"rail",0,1,0,0.5791448
3807,"2019-02-22","N4 3NN","F","N","L","18B",NA,"HATLEY ROAD",NA,"LONDON","ISLINGTON","N4","D",75,4,3.1,1.7,237,125,"Average","owner-occupied",51.565337,-0.112605,66,37,2,"finsbury park","Thames Water",41600,"Hackney",481000,"tube",2,1,0,0.4635644
3808,"2019-09-16","N22 7RT","F","N","L","65",NA,"DAGMAR ROAD","WOOD GREEN","LONDON","HARINGEY","N22","D",105,5,4,3.3,216,178,"Average","owner-occupied",51.600197,-0.12469,159,48,3,"alexandra palace","Thames Water",65500,"Haringey",530000,"rail",0,1,0,0.3162926
3809,"2019-08-09","SE15 3SZ","F","N","L","ALEXANDER HOUSE, 24","FLAT 1","GODMAN ROAD",NA,"LONDON","SOUTHWARK","SE15","C",68,3,2.5,2.5,208,208,"Good","owner-occupied",51.467885,-0.064048,16,14,2,"peckham rye","Thames Water",45300,"Southwark",550000,"light_rail",0,1,1,0.4902846
3810,"2019-05-15","SE16 7TJ","F","N","L","BALTIC QUAY, 1","FLAT 301","SWEDEN GATE",NA,"LONDON","SOUTHWARK","SE16","E",65.41,3,3,3,305,302,"Average","rental (private)",51.493055,-0.038046,83,11,2,"surrey quays","Thames Water",63300,"Southwark",520000,"light_rail",0,0,1,0.5070624
3811,"2019-12-11","SW6 4UL","F","N","L","19","FLAT E","PARSONS GREEN",NA,"LONDON","HAMMERSMITH AND FULHAM","SW6","D",39,2,1.9,1,279,140,"Poor","owner-occupied",51.47377,-0.199155,23,8,2,"parsons green","Thames Water",59900,"Hammersmith and Fulham",468000,"tube",1,0,0,0.3280992
3812,"2019-03-26","SE18 5NP","F","N","L","MIZZEN MAST HOUSE","FLAT 705","MAST QUAY",NA,"LONDON","GREENWICH","SE18","D",64.39,3,3.7,2.7,318,229,"Good","rental (private)",51.494201,0.058713,159,7,3,"woolwich dockyard","Thames Water",52000,"Greenwich",371000,"rail",0,1,0,0.655577
3813,"2019-06-07","KT9 1EY","S","N","F","64",NA,"GRANGE ROAD",NA,"CHESSINGTON","KINGSTON UPON THAMES","KT9","D",90,4,3.5,1.3,224,81,"Average","owner-occupied",51.370391,-0.302116,65,35,6,"chessington north","Thames Water",57500,"Kingston upon Thames",402500,"rail",0,1,0,0.6698692
3814,"2019-02-13","CR2 9JG","D","N","F","25",NA,"GLEBE HYRST",NA,"SOUTH CROYDON","CROYDON","CR2","C",223,6,5.2,3.6,122,83,"Good","owner-occupied",51.335967,-0.081369,50,156,6,"riddlesdown","SES Water",66500,"Croydon",995000,"rail",0,1,0,1.252121
3815,"2019-03-08","SM1 1RQ","T","N","F","42",NA,"CLARENCE ROAD",NA,"SUTTON","SUTTON","SM1","C",65,3,2.1,0.7,182,52,"Average","owner-occupied",51.365046,-0.197189,52,42,5,"west sutton","SES Water",46800,"Sutton",375000,"rail",0,1,0,0.6406634
3816,"2019-09-30","UB8 3WP","T","N","F","61",NA,"ARKLAY CLOSE",NA,"UXBRIDGE","HILLINGDON","UB8","C",91.21,4,2.4,2.3,160,152,"Good","owner-occupied",51.527971,-0.461659,176,44,6,"west drayton","Affinity Water",57800,"Hillingdon",445000,"rail",0,1,0,1.7169282
3817,"2019-11-07","SE5 0XB","F","N","L","CROSSMOUNT HOUSE","FLAT 41","BOWYER STREET",NA,"LONDON","SOUTHWARK","SE5","C",54,3,1.7,1.3,159,122,"Very Poor","rental (private)",51.479377,-0.096987,96,7,2,"oval","Thames Water",44000,"Southwark",245000,"tube",1,0,0,0.860639
3818,"2019-09-27","SE13 5RS","F","N","L","20A",NA,"GLENTON ROAD",NA,"LONDON","LEWISHAM","SE13","E",116.24,4,8.1,6.7,359,294,"Very Poor","rental (private)",51.459533,0.000593,154,22,3,"hither green","Thames Water",58800,"Lewisham",590000,"rail",0,1,0,0.6941038
3819,"2019-06-07","SW16 2NX","F","N","L","PEMBROKE LODGE, 149","FLAT 11","LEIGHAM COURT ROAD","STREATHAM","LONDON","LAMBETH","SW16","C",57,3,2,1.9,202,191,"Good","owner-occupied",51.433439,-0.11796,19,64,3,"streatham hill","Thames Water",55900,"Croydon",395000,"rail",0,1,0,0.674219
3820,"2019-06-03","SM2 5LQ","T","N","F","35",NA,"BAWTREE CLOSE",NA,"SUTTON","SUTTON","SM2","C",97,4,2.6,1.1,152,62,"Average","owner-occupied",51.344229,-0.186749,95,114,5,"belmont","SES Water",75400,"Sutton",435000,"rail",0,1,0,0.9836762
3821,"2019-03-19","RM3 0SL","T","N","F","6",NA,"BIRKDALE AVENUE",NA,"ROMFORD","HAVERING","RM3","D",77,4,3.6,1.1,265,79,"Poor","owner-occupied",51.59775,0.236723,94,31,6,"harold wood","Essex & Suffolk Water",49400,"Havering",390000,"rail",0,1,0,0.4766138
3823,"2019-07-31","CR2 8PT","D","N","F","36",NA,"NIGHTINGALE ROAD",NA,"SOUTH CROYDON","CROYDON","CR2","D",103,6,4.6,1.4,255,78,"Average","owner-occupied",51.340956,-0.051844,110,117,3,"gravel hill","SES Water",54400,"Croydon",485000,"light_rail",0,0,1,1.4049854
3825,"2019-01-08","KT1 4DT","F","N","L","TABARD HOUSE, 22","FLAT 20","UPPER TEDDINGTON ROAD",NA,"KINGSTON UPON THAMES","RICHMOND UPON THAMES","KT1","C",66,3,2.4,2.4,212,214,"Good","owner-occupied",51.416593,-0.313851,20,13,6,"hampton wick","Thames Water",63800,"Kingston upon Thames",440000,"rail",0,1,0,0.1621854
3826,"2019-09-20","SE23 1SA","F","N","L","25","FLAT 5","MONTEM ROAD",NA,"LONDON","LEWISHAM","SE23","D",76,3,3.8,1.6,257,108,"Very Poor","rental (social)",51.443356,-0.036118,173,34,3,"catford","Thames Water",60600,"Lewisham",259000,"rail",0,1,0,0.599651
3827,"2019-10-29","W5 4AH","F","N","L","48",NA,"BEECH GARDENS",NA,"LONDON","EALING","W5","D",73,4,2.7,1.7,197,119,"Good","owner-occupied",51.502034,-0.299822,91,26,3,"south ealing","Thames Water",56900,"Ealing",470000,"tube",1,0,0,0.484692
3828,"2019-04-23","E16 3DZ","T","N","F","40",NA,"TREE ROAD",NA,"LONDON","NEWHAM","E16","D",80,3,2.9,1,187,59,"Average","owner-occupied",51.512784,0.033277,144,3,3,"prince regent","Thames Water",41200,"Newham",368000,"light_rail",0,0,1,0.6624124
3829,"2019-06-14","W9 2NE","F","N","L","WYMERING MANSIONS","FLAT 109","WYMERING ROAD",NA,"LONDON","WESTMINSTER","W9","E",82,4,4.9,3.4,341,236,"Very Poor","owner-occupied",51.528506,-0.193277,75,31,2,"maida vale","Thames Water",63000,"Westminster",725000,"tube",2,0,0,0.441194
3830,"2019-10-30","E6 3JE","T","N","F","75",NA,"MONTPELIER GARDENS",NA,"LONDON","NEWHAM","E6","D",85,4,4.4,2,293,130,"Average","owner-occupied",51.528137,0.046562,92,7,3,"upton park","Thames Water",48300,"Newham",425000,"tube",2,0,0,0.9712482
3832,"2019-05-20","SE9 5JG","F","N","L","46",NA,"CAMPFIELD ROAD",NA,"LONDON","GREENWICH","SE9","D",54,3,2.4,1.8,258,193,"Average","owner-occupied",51.447273,0.036799,65,34,4,"mottingham","Thames Water",44500,"Greenwich",285000,"rail",0,1,0,0.9985898
3833,"2019-11-22","EN3 6TG","S","N","F","85",NA,"BULLSMOOR LANE",NA,"ENFIELD","ENFIELD","EN3","D",114,6,4.7,1.7,236,83,"Average","rental (social)",51.680992,-0.038206,35,20,7,"waltham cross","Thames Water",46000,"Enfield",405000,"rail",0,1,0,0.8196266
3835,"2019-04-24","KT6 7SF","T","N","F","2",NA,"WATERSIDE CLOSE",NA,"SURBITON","KINGSTON UPON THAMES","KT6","B",70,3,1.8,1.8,158,158,"Average","owner-occupied",51.379021,-0.300179,22,28,5,"tolworth","Thames Water",63300,"Kingston upon Thames",355000,"rail",0,1,0,1.2378288
3836,"2019-11-08","TW4 6LE","T","N","F","21",NA,"BERKELEY AVENUE",NA,"HOUNSLOW","HOUNSLOW","TW4","D",79,5,3.3,0.8,237,57,"Average","owner-occupied",51.478226,-0.411016,103,25,5,"hatton cross","Affinity Water",46300,"Hounslow",430000,"tube",1,0,0,1.6255824
3837,"2019-10-18","SW18 3QN","T","N","F","20",NA,"ISIS STREET",NA,"LONDON","WANDSWORTH","SW18","D",193,7,8,3.2,237,92,"Poor","owner-occupied",51.439446,-0.1852,101,11,3,"earlsfield","Thames Water",63100,"Wandsworth",1382000,"rail",0,1,0,0.2870868
3838,"2019-02-07","TW7 5HX","T","N","F","4",NA,"ALBURY AVENUE",NA,"ISLEWORTH","HOUNSLOW","TW7","E",112,6,5.9,3.1,298,157,"Good","owner-occupied",51.48122,-0.332654,99,26,4,"syon lane","Thames Water",69000,"Hounslow",663500,"rail",0,1,0,0.329342
3839,"2019-11-28","SW19 6BL","F","N","L","58",NA,"SWANTON GARDENS",NA,"LONDON","WANDSWORTH","SW19","D",44,2,2.4,1.2,292,143,"Average","rental (private)",51.445671,-0.218163,78,57,3,"southfields","Thames Water",51400,"Merton",270000,"tube",1,0,0,0.6313424
3840,"2019-10-18","SW14 8JJ","S","N","F","87",NA,"PALEWELL PARK",NA,"LONDON","RICHMOND UPON THAMES","SW14","D",263,10,12,7.9,222,138,"Poor","owner-occupied",51.461261,-0.264744,114,19,3,"mortlake","Thames Water",66600,"Richmond upon Thames",1955000,"rail",0,1,0,0.6443918
3841,"2019-05-03","CR0 1XL","T","N","F","11",NA,"BOURNE STREET",NA,"CROYDON","CROYDON","CR0","D",61,3,3.4,0.8,312,68,"Average","rental (private)",51.374096,-0.107851,77,45,3,"reeves corner","Thames Water",52700,"Croydon",3e+05,"light_rail",0,0,1,0.146029
3842,"2019-12-20","N1 2AS","F","N","L","11","BASEMENT FLAT","CANONBURY LANE",NA,"LONDON","ISLINGTON","N1","D",56,2,2.5,1.1,228,107,"Very Poor","owner-occupied",51.543019,-0.102092,45,41,2,"highbury and islington","Thames Water",53300,"Islington",645000,"tube",1,1,1,0.3057288
3843,"2019-11-21","SE6 1HP","T","N","F","162",NA,"WELLMEADOW ROAD","CATFORD","LONDON","LEWISHAM","SE6","E",131,6,8.4,4.1,335,160,"Good","owner-occupied",51.441104,0.002335,130,29,3,"lee","Thames Water",56800,"Lewisham",698000,"rail",0,1,0,1.0389808
3844,"2019-03-01","N21 1AS","T","N","F","6",NA,"GATWARD CLOSE",NA,"LONDON","ENFIELD","N21","D",101,5,5.1,1.7,287,94,"Good","owner-occupied",51.638999,-0.099533,51,37,5,"grange park","Thames Water",62600,"Enfield",480000,"rail",0,1,0,0.6220214
3845,"2019-09-25","HA8 0RJ","T","N","F","6",NA,"CRESSINGHAM ROAD",NA,"EDGWARE","BARNET","HA8","D",62,4,3.9,1.5,355,137,"Average","owner-occupied",51.606133,-0.257233,39,57,4,"burnt oak","Affinity Water",43800,"Barnet",420000,"tube",1,0,0,0.4237948
3846,"2019-08-29","CR5 2LR","D","N","F","2",NA,"ROSSETTI GARDENS",NA,"COULSDON","CROYDON","CR5","D",109,7,4.3,2.7,224,140,"Good","owner-occupied",51.310271,-0.124453,77,155,6,"coulsdon south","SES Water",53700,"Croydon",597500,"rail",0,1,0,0.9016514
3847,"2019-07-05","E3 5AT","F","N","L","11A",NA,"LICHFIELD ROAD",NA,"LONDON","TOWER HAMLETS","E3","D",66,3,3.4,2.1,284,175,"Average","owner-occupied",51.528015,-0.035159,137,14,2,"mile end","Thames Water",55500,"Tower Hamlets",475000,"tube",2,0,0,0.2895724
3848,"2019-10-08","W2 4JL","F","N","L","25","FLAT 3","CLANRICARDE GARDENS",NA,"LONDON","KENSINGTON AND CHELSEA","W2","C",65,4,2.1,1.1,182,98,"Very Poor","owner-occupied",51.510645,-0.193162,72,33,1,"notting hill gate","Thames Water",58500,"Westminster",1020000,"tube",3,0,0,0.1907698
3849,"2019-08-15","KT2 7NH","T","N","F","40",NA,"KINGSTON HILL",NA,"KINGSTON UPON THAMES","KINGSTON UPON THAMES","KT2","C",113,7,3.3,1.3,154,56,"Good","owner-occupied",51.414747,-0.285805,43,19,5,"norbiton","Thames Water",59400,"Kingston upon Thames",780000,"rail",0,1,0,0.3225066
3850,"2019-05-24","SW12 9LD","T","N","F","28",NA,"CATHLES ROAD",NA,"LONDON","WANDSWORTH","SW12","E",120.84,6,8.3,7.2,285,249,"Poor","owner-occupied",51.450535,-0.145667,90,29,2,"clapham south","Thames Water",69000,"Wandsworth",1075000,"tube",1,0,0,0.2063048
3851,"2019-08-14","W7 1EP","F","N","L","112","GROUND FLOOR FLAT","DRAYTON BRIDGE ROAD",NA,"LONDON","EALING","W7","D",57,3,2.6,1.4,265,141,"Good","rental (private)",51.515652,-0.332694,99,32,4,"drayton green","Thames Water",60200,"Ealing",327500,"rail",0,1,0,0.3131856
3852,"2019-07-17","EN3 6NR","S","N","F","694",NA,"HERTFORD ROAD",NA,"ENFIELD","ENFIELD","EN3","D",107,5,4.8,1.4,255,72,"Average","owner-occupied",51.67398,-0.038871,50,20,6,"turkey street","Thames Water",39700,"Enfield",440000,"light_rail",0,0,1,0.5493176
3855,"2019-05-24","UB10 9NF","S","N","F","3",NA,"BROOKSIDE",NA,"UXBRIDGE","HILLINGDON","UB10","D",131,7,6.1,2.4,263,101,"Average","owner-occupied",51.548289,-0.464616,44,40,6,"uxbridge","Affinity Water",47400,"Hillingdon",650000,"tube",2,0,0,0.6419062
3857,"2019-01-11","KT2 6SS","F","N","L","RIVERSTONE COURT","FLAT 35","QUEEN ELIZABETH ROAD",NA,"KINGSTON UPON THAMES","KINGSTON UPON THAMES","KT2","C",45,2,1.9,1.8,251,234,"Average","owner-occupied",51.41226,-0.295913,52,12,6,"kingston","Thames Water",53300,"Kingston upon Thames",2e+05,"rail",0,1,0,0.239239
3858,"2019-07-26","SE24 0BH","T","N","F","78",NA,"LOWDEN ROAD",NA,"LONDON","LAMBETH","SE24","C",147,6,3.9,2.3,149,87,"Average","owner-occupied",51.459213,-0.101252,113,26,2,"herne hill","Thames Water",58500,"Lambeth",970000,"rail",0,1,0,0.6002724
3860,"2019-12-04","SE13 5NG","T","N","F","3A",NA,"FERNBROOK ROAD",NA,"LONDON","LEWISHAM","SE13","D",82,5,4,1.9,277,125,"Average","owner-occupied",51.451357,0.002812,68,19,3,"hither green","Thames Water",63700,"Lewisham",728000,"rail",0,1,0,0.1727492
3861,"2019-05-31","NW9 0TE","T","N","F","13",NA,"HILLVIEW GARDENS",NA,"LONDON","BRENT","NW9","E",93,6,5.4,1.3,327,78,"Average","owner-occupied",51.585083,-0.256653,142,83,4,"colindale","Affinity Water",48300,"Brent",493000,"tube",1,0,0,0.9575774
3862,"2019-06-03","SW18 1TW","F","N","L","COMMODORE HOUSE","27","JUNIPER DRIVE",NA,"LONDON","WANDSWORTH","SW18","B",81,3,1.9,1.8,141,135,"Good","rental (private)",51.464483,-0.18475,85,5,2,"wandsworth town","Thames Water",66400,"Wandsworth",650000,"rail",0,1,0,0.431873
3863,"2019-05-10","SE19 1LW","F","N","L","DRAKE COURT","FLAT 34","TYLNEY AVENUE",NA,"LONDON","SOUTHWARK","SE19","E",55,2,4.7,2.4,445,229,"Very Poor","owner-occupied",51.425164,-0.077923,58,90,3,"gipsy hill","Thames Water",56500,"Croydon",350000,"rail",0,1,0,0.4182022
3864,"2019-11-22","IG1 4QY","T","N","F","16A",NA,"CHRISTCHURCH ROAD",NA,"ILFORD","REDBRIDGE","IG1","D",63,3,3.3,0.6,291,51,"Poor","owner-occupied",51.565092,0.076545,143,16,4,"ilford","Essex & Suffolk Water",49000,"Redbridge",370000,"rail",0,1,0,0.6450132
3865,"2019-08-08","SE26 4QT","F","N","L","199 - 203","FLAT 2","KIRKDALE","SYDENHAM","LONDON","LEWISHAM","SE26","C",71,3,2.2,1.8,177,145,"Good","owner-occupied",51.429887,-0.05839,14,59,3,"sydenham","Thames Water",51700,"Lewisham",375000,"light_rail",0,1,1,0.3001362
3866,"2019-12-16","TW12 2QD","T","N","F","60",NA,"BLOXHAM CRESCENT",NA,"HAMPTON","RICHMOND UPON THAMES","TW12","D",55.44,3,2.9,2.9,312,307,"Poor","owner-occupied",51.417189,-0.377093,94,18,6,"hampton","Thames Water",61900,"Richmond upon Thames",585000,"rail",0,1,0,0.3380416
